Detected Linux/other - using native python3
Results will be saved to: results/creditcard_20260514_141901
Dataset: creditcard

Activating virtual environment (Linux: ~/Downloads/venv)...
==============================================
STARTING A2QA BASELINE EXPERIMENTS
==============================================

==============================================
EXPERIMENT 1: Minimal Viable Baseline
==============================================
[I 2026-05-14 14:19:03,284] A new study created in memory with name: no-name-d2e84c05-96e5-4891-9bb6-b7786f69a093
[I 2026-05-14 14:19:04,485] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 311, 'max_depth': 7, 'learning_rate': 0.15257372784439052, 'scale_pos_weight': 561.7482774926185}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 14:19:52,273] Trial 11 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 348, 'max_depth': 4, 'learning_rate': 0.09673279129651284, 'scale_pos_weight': 610.0481470777805}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:19:59,333] Trial 12 finished with value: 0.819047619047619 and parameters: {'n_estimators': 253, 'max_depth': 6, 'learning_rate': 0.09113258672109634, 'scale_pos_weight': 538.8200409694066}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:01,639] Trial 13 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 330, 'max_depth': 4, 'learning_rate': 0.13567238423486624, 'scale_pos_weight': 458.2184602121998}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:06,030] Trial 14 finished with value: 0.819047619047619 and parameters: {'n_estimators': 270, 'max_depth': 6, 'learning_rate': 0.11267755895292893, 'scale_pos_weight': 532.0598226478999}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:12,774] Trial 15 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 378, 'max_depth': 4, 'learning_rate': 0.08153983358040306, 'scale_pos_weight': 470.3145854978051}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:18,597] Trial 16 finished with value: 0.8349514563106796 and parameters: {'n_estimators': 217, 'max_depth': 6, 'learning_rate': 0.1183203914857799, 'scale_pos_weight': 620.0325629785318}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:22,230] Trial 17 finished with value: 0.5859872611464968 and parameters: {'n_estimators': 294, 'max_depth': 3, 'learning_rate': 0.08499203909591077, 'scale_pos_weight': 526.4811738972476}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:30,839] Trial 18 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 237, 'max_depth': 4, 'learning_rate': 0.19878143551803013, 'scale_pos_weight': 423.0600613992743}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:34,079] Trial 19 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 238, 'max_depth': 4, 'learning_rate': 0.1967919077971403, 'scale_pos_weight': 415.71731244068684}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:36,800] Trial 20 finished with value: 0.5609756097560976 and parameters: {'n_estimators': 155, 'max_depth': 3, 'learning_rate': 0.1575325171463628, 'scale_pos_weight': 438.1875476985951}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:40,504] Trial 21 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 249, 'max_depth': 4, 'learning_rate': 0.19424166329487907, 'scale_pos_weight': 420.232345920912}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:43,170] Trial 22 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 229, 'max_depth': 4, 'learning_rate': 0.1995035231316002, 'scale_pos_weight': 438.47158361337557}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:47,401] Trial 23 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 248, 'max_depth': 4, 'learning_rate': 0.17795697329763846, 'scale_pos_weight': 476.23599745342796}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:47,921] Trial 24 finished with value: 0.7301587301587301 and parameters: {'n_estimators': 172, 'max_depth': 3, 'learning_rate': 0.17760411943975085, 'scale_pos_weight': 436.67275848523997}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:49,192] Trial 25 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 221, 'max_depth': 4, 'learning_rate': 0.14633137817113492, 'scale_pos_weight': 415.03661425234293}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:20:57,404] Trial 26 finished with value: 0.8461538461538461 and parameters: {'n_estimators': 287, 'max_depth': 4, 'learning_rate': 0.18456448102181466, 'scale_pos_weight': 453.0608940445221}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:21:02,304] Trial 27 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 188, 'max_depth': 5, 'learning_rate': 0.1284700481959311, 'scale_pos_weight': 474.6226749800265}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:21:05,074] Trial 28 finished with value: 0.7758620689655172 and parameters: {'n_estimators': 267, 'max_depth': 3, 'learning_rate': 0.168450091341933, 'scale_pos_weight': 442.47163689437735}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:21:06,929] Trial 29 finished with value: 0.7586206896551724 and parameters: {'n_estimators': 125, 'max_depth': 4, 'learning_rate': 0.14590352063080358, 'scale_pos_weight': 510.32264096106866}. Best is trial 2 with value: 0.8627450980392157.
[I 2026-05-14 14:30:47,842] A new study created in memory with name: no-name-f60dbc08-5c37-4f2e-a0c9-2e8aeb70f11a
[I 2026-05-14 14:30:51,781] Trial 0 finished with value: 0.7663551401869159 and parameters: {'n_estimators': 193, 'max_depth': 6, 'learning_rate': 0.06612050772191419, 'scale_pos_weight': 537.7683742290336}. Best is trial 0 with value: 0.7663551401869159.
[I 2026-05-14 14:30:54,934] Trial 1 finished with value: 0.6890756302521008 and parameters: {'n_estimators': 126, 'max_depth': 3, 'learning_rate': 0.13948896063966687, 'scale_pos_weight': 482.1069893485935}. Best is trial 0 with value: 0.7663551401869159.
[I 2026-05-14 14:31:00,078] Trial 2 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 213, 'max_depth': 7, 'learning_rate': 0.1486712225588651, 'scale_pos_weight': 575.046282706207}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:04,139] Trial 3 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 383, 'max_depth': 5, 'learning_rate': 0.1854220052090897, 'scale_pos_weight': 538.1950912462623}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:08,679] Trial 4 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 398, 'max_depth': 5, 'learning_rate': 0.16786625723309978, 'scale_pos_weight': 477.319755954802}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:15,049] Trial 5 finished with value: 0.7547169811320755 and parameters: {'n_estimators': 314, 'max_depth': 4, 'learning_rate': 0.16380483555942066, 'scale_pos_weight': 612.4305962316165}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:15,245] Trial 6 finished with value: 0.6222222222222222 and parameters: {'n_estimators': 182, 'max_depth': 3, 'learning_rate': 0.05636440960240133, 'scale_pos_weight': 430.67876910878124}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:18,192] Trial 7 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 216, 'max_depth': 6, 'learning_rate': 0.17524433591307798, 'scale_pos_weight': 587.4192844846289}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:23,310] Trial 8 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 389, 'max_depth': 4, 'learning_rate': 0.15543160245691606, 'scale_pos_weight': 509.38448779278235}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:28,348] Trial 9 finished with value: 0.7476635514018691 and parameters: {'n_estimators': 255, 'max_depth': 4, 'learning_rate': 0.19655393848018526, 'scale_pos_weight': 537.3819411540308}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:28,572] Trial 10 finished with value: 0.7592592592592593 and parameters: {'n_estimators': 104, 'max_depth': 7, 'learning_rate': 0.10631442326522905, 'scale_pos_weight': 580.0722760782986}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:40,474] Trial 11 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 306, 'max_depth': 7, 'learning_rate': 0.11119307255030005, 'scale_pos_weight': 562.1285991721301}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:45,195] Trial 12 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 294, 'max_depth': 6, 'learning_rate': 0.19685162664205547, 'scale_pos_weight': 615.7114478730936}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:45,727] Trial 13 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 341, 'max_depth': 5, 'learning_rate': 0.13038092335399193, 'scale_pos_weight': 552.5506689491707}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:47,690] Trial 14 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 264, 'max_depth': 5, 'learning_rate': 0.182190115408534, 'scale_pos_weight': 498.0372474970993}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:52,115] Trial 15 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 155, 'max_depth': 7, 'learning_rate': 0.14421583385562398, 'scale_pos_weight': 575.5464774332706}. Best is trial 2 with value: 0.7692307692307693.
[I 2026-05-14 14:31:58,881] Trial 16 finished with value: 0.7766990291262136 and parameters: {'n_estimators': 357, 'max_depth': 6, 'learning_rate': 0.10843359710147943, 'scale_pos_weight': 444.96573233496883}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:08,742] Trial 17 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 225, 'max_depth': 6, 'learning_rate': 0.0894033937947923, 'scale_pos_weight': 435.25553614940935}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:14,129] Trial 18 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 329, 'max_depth': 7, 'learning_rate': 0.09066028988059417, 'scale_pos_weight': 415.59492752075107}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:17,787] Trial 19 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 353, 'max_depth': 6, 'learning_rate': 0.11284256214190878, 'scale_pos_weight': 457.64113619063085}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:21,309] Trial 20 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 266, 'max_depth': 7, 'learning_rate': 0.08827278860787552, 'scale_pos_weight': 459.4927535979932}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:24,377] Trial 21 finished with value: 0.7766990291262136 and parameters: {'n_estimators': 367, 'max_depth': 6, 'learning_rate': 0.1501802023351682, 'scale_pos_weight': 533.7289816687601}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:27,923] Trial 22 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 363, 'max_depth': 6, 'learning_rate': 0.15133829076275226, 'scale_pos_weight': 532.9360305589744}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:31,240] Trial 23 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 296, 'max_depth': 6, 'learning_rate': 0.12733914092757403, 'scale_pos_weight': 515.0104854253857}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:36,503] Trial 24 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 220, 'max_depth': 7, 'learning_rate': 0.13557868012549695, 'scale_pos_weight': 595.3080682245911}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:39,576] Trial 25 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 366, 'max_depth': 6, 'learning_rate': 0.12027852732500632, 'scale_pos_weight': 569.5032732072449}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:41,845] Trial 26 finished with value: 0.7663551401869159 and parameters: {'n_estimators': 162, 'max_depth': 7, 'learning_rate': 0.0996179427731101, 'scale_pos_weight': 553.6533185842109}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:44,190] Trial 27 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 279, 'max_depth': 6, 'learning_rate': 0.11803512402146538, 'scale_pos_weight': 495.0562003101694}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:46,629] Trial 28 finished with value: 0.7619047619047619 and parameters: {'n_estimators': 242, 'max_depth': 7, 'learning_rate': 0.15090203292488966, 'scale_pos_weight': 519.7435143122923}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:32:48,990] Trial 29 finished with value: 0.7592592592592593 and parameters: {'n_estimators': 188, 'max_depth': 6, 'learning_rate': 0.07701532268244016, 'scale_pos_weight': 603.025685272552}. Best is trial 16 with value: 0.7766990291262136.
[I 2026-05-14 14:43:04,715] A new study created in memory with name: no-name-8305323b-b1cb-4afa-bd28-dd56608a0550
[I 2026-05-14 14:43:07,357] Trial 0 finished with value: 0.6 and parameters: {'n_estimators': 124, 'max_depth': 7, 'learning_rate': 0.0911361614893326, 'scale_pos_weight': 586.7612139683785}. Best is trial 0 with value: 0.6.
[I 2026-05-14 14:43:10,826] Trial 1 finished with value: 0.569620253164557 and parameters: {'n_estimators': 189, 'max_depth': 5, 'learning_rate': 0.09808773268669571, 'scale_pos_weight': 524.0651754146335}. Best is trial 0 with value: 0.6.
[I 2026-05-14 14:43:11,028] Trial 2 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 257, 'max_depth': 6, 'learning_rate': 0.18796245484866986, 'scale_pos_weight': 459.2394223677405}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:11,157] Trial 3 finished with value: 0.5906040268456376 and parameters: {'n_estimators': 144, 'max_depth': 7, 'learning_rate': 0.14072539071250995, 'scale_pos_weight': 540.0690766390586}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:11,362] Trial 4 finished with value: 0.6027397260273972 and parameters: {'n_estimators': 210, 'max_depth': 7, 'learning_rate': 0.12568863166042055, 'scale_pos_weight': 455.5240323180104}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:11,630] Trial 5 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 376, 'max_depth': 5, 'learning_rate': 0.17214587780556548, 'scale_pos_weight': 517.8432993059683}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:11,842] Trial 6 finished with value: 0.5660377358490566 and parameters: {'n_estimators': 274, 'max_depth': 5, 'learning_rate': 0.07966601524866111, 'scale_pos_weight': 531.6558977778116}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:13,465] Trial 7 finished with value: 0.5595238095238095 and parameters: {'n_estimators': 123, 'max_depth': 3, 'learning_rate': 0.12984418484385146, 'scale_pos_weight': 549.4571608827139}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:13,653] Trial 8 finished with value: 0.575 and parameters: {'n_estimators': 321, 'max_depth': 3, 'learning_rate': 0.07535311094708994, 'scale_pos_weight': 517.3325466786974}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:13,748] Trial 9 finished with value: 0.5542168674698795 and parameters: {'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.16246490246656653, 'scale_pos_weight': 548.4649159131479}. Best is trial 2 with value: 0.6153846153846154.
[I 2026-05-14 14:43:16,123] Trial 10 finished with value: 0.6197183098591549 and parameters: {'n_estimators': 271, 'max_depth': 6, 'learning_rate': 0.19694897965952987, 'scale_pos_weight': 417.0011923332967}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:17,709] Trial 11 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 278, 'max_depth': 6, 'learning_rate': 0.195203419514085, 'scale_pos_weight': 422.28120468656607}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:22,775] Trial 12 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 232, 'max_depth': 6, 'learning_rate': 0.19525728303663062, 'scale_pos_weight': 472.5570326209114}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:23,241] Trial 13 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 321, 'max_depth': 6, 'learning_rate': 0.16818132531846375, 'scale_pos_weight': 416.3653570062718}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:25,383] Trial 14 finished with value: 0.5714285714285714 and parameters: {'n_estimators': 322, 'max_depth': 4, 'learning_rate': 0.05552068295145024, 'scale_pos_weight': 463.69456530733584}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:26,937] Trial 15 finished with value: 0.6111111111111112 and parameters: {'n_estimators': 261, 'max_depth': 6, 'learning_rate': 0.18076996212895527, 'scale_pos_weight': 439.8861281147223}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:30,592] Trial 16 finished with value: 0.5827814569536424 and parameters: {'n_estimators': 399, 'max_depth': 5, 'learning_rate': 0.15040113646845552, 'scale_pos_weight': 483.0296812247803}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:32,473] Trial 17 finished with value: 0.5960264900662252 and parameters: {'n_estimators': 180, 'max_depth': 4, 'learning_rate': 0.1843240215708518, 'scale_pos_weight': 492.1231132783831}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:35,623] Trial 18 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 234, 'max_depth': 6, 'learning_rate': 0.19897520230332197, 'scale_pos_weight': 436.64942955837455}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:37,488] Trial 19 finished with value: 0.5882352941176471 and parameters: {'n_estimators': 307, 'max_depth': 4, 'learning_rate': 0.1583110372842421, 'scale_pos_weight': 611.4795575953025}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:42,231] Trial 20 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 367, 'max_depth': 7, 'learning_rate': 0.11038343572921214, 'scale_pos_weight': 496.4793282894707}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:46,031] Trial 21 finished with value: 0.6111111111111112 and parameters: {'n_estimators': 369, 'max_depth': 5, 'learning_rate': 0.17566700082128062, 'scale_pos_weight': 447.7797823622429}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:49,309] Trial 22 finished with value: 0.6111111111111112 and parameters: {'n_estimators': 292, 'max_depth': 5, 'learning_rate': 0.1826355732691009, 'scale_pos_weight': 569.7753052332984}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:53,317] Trial 23 finished with value: 0.6153846153846154 and parameters: {'n_estimators': 348, 'max_depth': 6, 'learning_rate': 0.1439998038375691, 'scale_pos_weight': 508.1423095636089}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:43:59,043] Trial 24 finished with value: 0.6068965517241379 and parameters: {'n_estimators': 243, 'max_depth': 5, 'learning_rate': 0.17407236732443426, 'scale_pos_weight': 427.94554693265474}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:44:01,764] Trial 25 finished with value: 0.6111111111111112 and parameters: {'n_estimators': 204, 'max_depth': 6, 'learning_rate': 0.18826730116354645, 'scale_pos_weight': 466.0300553203704}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:44:03,673] Trial 26 finished with value: 0.6081081081081081 and parameters: {'n_estimators': 385, 'max_depth': 4, 'learning_rate': 0.16376672752300753, 'scale_pos_weight': 415.26523525057456}. Best is trial 10 with value: 0.6197183098591549.
[I 2026-05-14 14:44:04,723] Trial 27 finished with value: 0.624113475177305 and parameters: {'n_estimators': 346, 'max_depth': 6, 'learning_rate': 0.19960964825228467, 'scale_pos_weight': 478.1596054468459}. Best is trial 27 with value: 0.624113475177305.
[I 2026-05-14 14:44:09,331] Trial 28 finished with value: 0.624113475177305 and parameters: {'n_estimators': 347, 'max_depth': 7, 'learning_rate': 0.1978607394862387, 'scale_pos_weight': 483.0136490460164}. Best is trial 27 with value: 0.624113475177305.
[I 2026-05-14 14:44:13,116] Trial 29 finished with value: 0.6285714285714286 and parameters: {'n_estimators': 345, 'max_depth': 7, 'learning_rate': 0.1992613904025394, 'scale_pos_weight': 483.7043863136362}. Best is trial 29 with value: 0.6285714285714286.
[I 2026-05-14 14:44:18,778] A new study created in memory with name: no-name-7a26bb56-ad3a-4953-a9f3-4e8347b8b9c2
[I 2026-05-14 14:44:21,816] Trial 0 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 370, 'max_depth': 5, 'learning_rate': 0.1600004611018731, 'scale_pos_weight': 565.2953925582444}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:44:24,565] Trial 1 finished with value: 0.819047619047619 and parameters: {'n_estimators': 236, 'max_depth': 6, 'learning_rate': 0.0890694859062465, 'scale_pos_weight': 505.00687087050335}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:44:34,688] Trial 2 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 248, 'max_depth': 7, 'learning_rate': 0.1673801210080407, 'scale_pos_weight': 499.97078284250017}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:44:40,301] Trial 3 finished with value: 0.5476190476190477 and parameters: {'n_estimators': 131, 'max_depth': 3, 'learning_rate': 0.16474975622552876, 'scale_pos_weight': 542.9674812500937}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:44:45,798] Trial 4 finished with value: 0.8269230769230769 and parameters: {'n_estimators': 393, 'max_depth': 6, 'learning_rate': 0.0697661004601165, 'scale_pos_weight': 535.0998775487043}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:44:48,832] Trial 5 finished with value: 0.782608695652174 and parameters: {'n_estimators': 151, 'max_depth': 5, 'learning_rate': 0.09034489316448913, 'scale_pos_weight': 617.0955337739229}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:44:53,996] Trial 6 finished with value: 0.822429906542056 and parameters: {'n_estimators': 172, 'max_depth': 4, 'learning_rate': 0.1489875910271286, 'scale_pos_weight': 484.07849713202654}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:45:00,035] Trial 7 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 207, 'max_depth': 6, 'learning_rate': 0.1683093267319551, 'scale_pos_weight': 451.0231532618981}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:45:02,426] Trial 8 finished with value: 0.5644171779141104 and parameters: {'n_estimators': 188, 'max_depth': 3, 'learning_rate': 0.12697121441268416, 'scale_pos_weight': 520.3256802746043}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:45:13,255] Trial 9 finished with value: 0.7692307692307693 and parameters: {'n_estimators': 245, 'max_depth': 3, 'learning_rate': 0.16235292693221848, 'scale_pos_weight': 495.04075272688385}. Best is trial 0 with value: 0.8543689320388349.
[I 2026-05-14 14:45:14,735] Trial 10 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 354, 'max_depth': 5, 'learning_rate': 0.1971731060709213, 'scale_pos_weight': 590.3179664398473}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:21,993] Trial 11 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 361, 'max_depth': 5, 'learning_rate': 0.19651021740817415, 'scale_pos_weight': 591.3804165759925}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:27,589] Trial 12 finished with value: 0.8543689320388349 and parameters: {'n_estimators': 322, 'max_depth': 5, 'learning_rate': 0.1978632961433133, 'scale_pos_weight': 604.671272527539}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:29,954] Trial 13 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 315, 'max_depth': 4, 'learning_rate': 0.18269323112899732, 'scale_pos_weight': 582.1103568613077}. Best is trial 10 with value: 0.8627450980392157.
[I 2026-05-14 14:45:32,521] Trial 14 finished with value: 0.8627450980392157 and parameters: {'n_estimators': 325, 'max_depth': 4, 'learning_rate': 0.19036591763988614, 'scale_pos_weight': 578.6785146751829}. Best is trial 10 with value: 0.8627450980392157.
